pss_score,workload_hours,work_pressure_rating,recovery_sleep_hours,social_support_rating,work_life_balance_rating,shift_continuity_days,recent_trend_indicator,welfare_risk_level,data_label
21.7,45.2,3.8,4.9,5.9,4.0,2.0,-0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.0,50.6,5.4,5.4,4.9,4.8,3.0,-2.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.9,44.1,5.5,5.1,5.6,4.2,2.0,0.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.4,48.9,6.4,5.5,7.5,5.6,0.0,-1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.2,35.0,2.8,5.9,8.7,7.8,18.0,-2.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.2,54.1,6.7,7.2,7.2,3.9,3.0,-1.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.8,52.0,1.0,5.8,6.2,7.4,2.0,5.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.8,43.8,4.2,4.3,9.1,3.8,11.0,0.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.5,58.6,4.5,7.6,5.3,3.7,1.0,0.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.1,61.4,6.8,5.2,8.2,7.0,1.0,-2.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.5,35.9,5.5,6.1,5.4,7.2,6.0,-3.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.5,44.4,2.7,6.7,6.9,7.1,1.0,-1.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.8,44.3,3.5,6.4,5.8,2.8,6.0,2.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
3.7,42.6,5.9,7.5,5.9,4.5,1.0,0.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
5.1,60.3,5.3,6.8,5.2,7.0,0.0,1.2,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.8,50.1,4.3,5.2,8.8,5.5,3.0,1.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.4,49.4,4.5,8.8,4.5,3.3,1.0,-1.2,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.4,35.0,6.9,6.4,4.4,6.3,5.0,2.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.2,58.4,4.5,6.0,10.0,4.0,4.0,-1.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
7.4,39.6,5.3,7.4,8.1,9.0,9.0,2.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.0,52.6,9.8,6.5,1.0,8.5,5.0,0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.3,54.8,2.7,6.7,4.8,6.6,1.0,-3.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.5,65.6,1.8,9.0,2.2,8.1,6.0,-1.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
