pss_score,workload_hours,work_pressure_rating,prolonged_duty_hours,shift_continuity_days,night_duty_hours,recovery_sleep_hours,rest_interval_hours,recovery_pattern_score,deployment_demand_score,social_support_rating,work_life_balance_rating,recent_trend_indicator,welfare_concern_level,dataset_type,provenance,data_label
25.0,57.0,7.9,4.0,6.0,1.9,6.1,18.2,2,3,8.2,7.0,0.2,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
15.5,50.6,4.2,4.0,2.0,3.0,7.6,16.0,0,1,6.9,4.8,-0.9,0,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
24.1,58.5,5.6,4.0,3.0,6.8,5.6,17.5,2,2,5.6,4.9,1.9,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
16.3,67.2,5.6,4.0,1.0,13.3,6.8,13.5,0,2,3.2,4.2,-4.4,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
17.5,49.7,4.5,4.0,3.0,0.3,7.4,17.7,0,1,7.7,6.2,0.0,0,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
14.1,49.7,2.8,11.5,1.0,0.4,6.5,14.7,2,1,6.6,5.7,3.5,0,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
23.9,67.8,6.1,4.0,5.0,2.4,6.9,16.2,0,2,4.7,4.2,1.5,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
24.2,59.7,5.4,9.7,3.0,1.6,6.2,11.7,2,1,3.9,6.9,2.2,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
14.9,47.3,6.5,6.1,2.0,1.8,7.8,14.7,0,1,7.5,1.0,0.7,0,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
25.5,57.4,4.4,5.6,1.0,1.5,6.5,16.2,0,2,3.0,6.7,-3.7,1,SYNTHETIC_PROTOTYPE_BENCHMARK,SYNTHETIC_PROTOTYPE_DATA_NOT_REAL_PERSONNEL_DATA,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL OR SENSOR DATA
